C to C,Start Corner,End Corner,Start Corner X-coordinate,Start Corner Y-coordinate,End Corner X-coordinate,End Corner Y-coordinate,Distance (mm)
C14C13,C14,C13,1,77,1,37,35100
C24C23,C24,C23,4,77,4,37,35100
C34C33,C34,C33,5,77,5,37,35100
C44C43,C44,C43,8,77,8,37,35100
C54C53,C54,C53,9,77,9,37,35100
C64C63,C64,C63,12,77,12,37,35100
C74C73,C74,C73,13,77,13,37,35100
C84C83,C84,C83,16,77,16,37,35100
C94C93,C94,C93,17,77,17,37,35100
C104C103,C104,C103,20,77,20,37,35100
C114C113,C114,C113,21,77,21,37,35100
C124C123,C124,C123,24,77,24,37,35100
C134C133,C134,C133,25,77,25,37,35100
C144C143,C144,C143,28,77,28,37,35100
C154C153,C154,C153,29,77,29,37,35100
C164C163,C164,C163,31,77,31,37,35100
C13C14,C13,C14,1,37,1,77,35100
C23C24,C23,C24,4,37,4,77,35100
C33C34,C33,C34,5,37,5,77,35100
C43C44,C43,C44,8,37,8,77,35100
C53C54,C53,C54,9,37,9,77,35100
C63C64,C63,C64,12,37,12,77,35100
C73C74,C73,C74,13,37,13,77,35100
C83C84,C83,C84,16,37,16,77,35100
C93C94,C93,C94,17,37,17,77,35100
C103C104,C103,C104,20,37,20,77,35100
C113C114,C113,C114,21,37,21,77,35100
C123C124,C123,C124,24,37,24,77,35100
C133C134,C133,C134,25,37,25,77,35100
C143C144,C143,C144,28,37,28,77,35100
C153C154,C153,C154,29,37,29,77,35100
C163C164,C163,C164,31,37,31,77,35100
C12C11,C12,C11,1,35,1,1,29700
C22C21,C22,C21,4,35,4,1,29700
C32C31,C32,C31,5,35,5,1,29700
C42C41,C42,C41,8,35,8,1,29700
C52C51,C52,C51,9,35,9,1,29700
C62C61,C62,C61,12,35,12,1,29700
C72C71,C72,C71,13,35,13,1,29700
C82C81,C82,C81,16,35,16,1,29700
C92C91,C92,C91,17,35,17,1,29700
C102C101,C102,C101,20,35,20,1,29700
C112C111,C112,C111,21,35,21,1,29700
C122C121,C122,C121,24,35,24,1,29700
C132C131,C132,C131,25,35,25,1,29700
C142C141,C142,C141,28,35,28,1,29700
C152C151,C152,C151,29,35,29,1,29700
C162C161,C162,C161,31,35,31,1,29700
C11C12,C11,C12,1,1,1,35,29700
C21C22,C21,C22,4,1,4,35,29700
C31C32,C31,C32,5,1,5,35,29700
C41C42,C41,C42,8,1,8,35,29700
C51C52,C51,C52,9,1,9,35,29700
C61C62,C61,C62,12,1,12,35,29700
C71C72,C71,C72,13,1,13,35,29700
C81C82,C81,C82,16,1,16,35,29700
C91C92,C91,C92,17,1,17,35,29700
C101C102,C101,C102,20,1,20,35,29700
C111C112,C111,C112,21,1,21,35,29700
C121C122,C121,C122,24,1,24,35,29700
C131C132,C131,C132,25,1,25,35,29700
C141C142,C141,C142,28,1,28,35,29700
C151C152,C151,C152,29,1,29,35,29700
C161C162,C161,C162,31,1,31,35,29700
C21C11,C21,C11,4,1,1,1,2300
C11C21,C11,C21,1,1,4,1,2300
C41C31,C41,C31,8,1,5,1,2300
C31C41,C31,C41,5,1,8,1,2300
C61C51,C61,C51,12,1,9,1,2300
C51C61,C51,C61,9,1,12,1,2300
C81C71,C81,C71,16,1,13,1,2300
C71C81,C71,C81,13,1,16,1,2300
C101C91,C101,C91,20,1,17,1,2300
C91C101,C91,C101,17,1,20,1,2300
C121C111,C121,C111,24,1,21,1,2300
C111C121,C111,C121,21,1,24,1,2300
C141C131,C141,C131,28,1,25,1,2300
C131C141,C131,C141,25,1,28,1,2300
C22C12,C22,C12,4,35,1,35,2300
C12C22,C12,C22,1,35,4,35,2300
C42C32,C42,C32,8,35,5,35,2300
